customerID,gender,SeniorCitizen,tenure,Tenure Range,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Country,State,City,Age,Under 30,Married,Premium Tech Support,Total Revenue,Satisfaction Score,Customer Status,Churn Category
3668-QPYBK,Male,0,2,New Customer,DSL,Month-to-month,Mailed check,53.85,108.15,Yes,United States,California,Los Angeles,37,No,No,No,129.09,1,Churned,Competitor
9237-HQITU,Female,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,70.7,151.65,Yes,United States,California,Los Angeles,19,Yes,No,No,169.89,2,Churned,Other
9305-CDSKC,Female,0,8,New Customer,Fiber optic,Month-to-month,Electronic check,99.65,820.5,Yes,United States,California,Los Angeles,31,No,No,No,917.7,3,Churned,Other
7892-POOKP,Female,0,28,Medium,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,Yes,United States,California,Los Angeles,23,Yes,Yes,Yes,3182.97,3,Churned,Other
0280-XJGEX,Male,0,49,Loyal Customer,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,United States,California,Los Angeles,38,No,No,No,7208.47,1,Churned,Competitor
4190-MFLUW,Female,0,10,New Customer,DSL,Month-to-month,Credit card (automatic),55.2,528.35,Yes,United States,California,Los Angeles,21,Yes,Yes,Yes,622.45,1,Churned,Competitor
8779-QRDMV,Male,1,1,New Customer,DSL,Month-to-month,Electronic check,39.65,39.65,Yes,United States,California,Los Angeles,78,No,No,No,59.65,3,Churned,Competitor
1066-JKSGK,Male,0,1,New Customer,No,Month-to-month,Mailed check,20.15,20.15,Yes,United States,California,Los Angeles,29,Yes,No,No,53.73,1,Churned,Competitor
6467-CHFZW,Male,0,47,Loyal Customer,Fiber optic,Month-to-month,Electronic check,99.35,4749.15,Yes,United States,California,Los Angeles,61,No,Yes,No,6222.6,1,Churned,Competitor
8665-UTDHZ,Male,0,1,New Customer,DSL,Month-to-month,Electronic check,30.2,30.2,Yes,United States,California,Los Angeles,27,Yes,Yes,No,30.2,1,Churned,Competitor
8773-HHUOZ,Female,0,17,Medium,DSL,Month-to-month,Mailed check,64.7,1093.1,Yes,United States,California,Los Angeles,20,Yes,No,No,1782.45,1,Churned,Competitor
6047-YHPVI,Male,0,5,New Customer,Fiber optic,Month-to-month,Electronic check,69.7,316.9,Yes,United States,California,Los Angeles,56,No,No,No,379.9,1,Churned,Competitor
5380-WJKOV,Male,0,34,Medium,Fiber optic,Month-to-month,Electronic check,106.35,3549.25,Yes,United States,California,Los Angeles,51,No,No,No,4286.71,2,Churned,Competitor
8168-UQWWF,Female,0,11,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes,United States,California,Los Angeles,48,No,No,No,1408.67,3,Churned,Competitor
7760-OYPDY,Female,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,80.65,144.15,Yes,United States,California,Los Angeles,32,No,No,No,175.85,1,Churned,Competitor
9420-LOJKX,Female,0,15,Medium,Fiber optic,Month-to-month,Credit card (automatic),99.1,1426.4,Yes,United States,California,Los Angeles,34,No,No,No,1485.8,1,Churned,Competitor
7495-OOKFY,Female,1,8,New Customer,Fiber optic,Month-to-month,Credit card (automatic),80.65,633.3,Yes,United States,California,Los Angeles,74,No,Yes,No,1024.1,3,Churned,Competitor
1658-BYGOY,Male,1,18,Medium,Fiber optic,Month-to-month,Electronic check,95.45,1752.55,Yes,United States,California,Los Angeles,71,No,No,No,1910.88,2,Churned,Competitor
5698-BQJOH,Female,0,9,New Customer,Fiber optic,Month-to-month,Electronic check,94.4,857.25,Yes,United States,California,Beverly Hills,41,No,No,No,1102.14,3,Churned,Price
5919-TMRGD,Female,0,1,New Customer,Fiber optic,Month-to-month,Electronic check,79.35,79.35,Yes,United States,California,Huntington Park,32,No,No,No,92.48,1,Churned,Competitor
9191-MYQKX,Female,0,7,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),75.15,496.9,Yes,United States,California,Lynwood,34,No,Yes,No,557.73,1,Churned,Dissatisfaction
8637-XJIVR,Female,0,12,New Customer,Fiber optic,Month-to-month,Electronic check,78.95,927.35,Yes,United States,California,Marina Del Rey,34,No,No,No,1311.43,1,Churned,Attitude
0278-YXOOG,Male,0,5,New Customer,No,Month-to-month,Mailed check,21.05,113.85,Yes,United States,California,Inglewood,30,No,No,No,285.15,3,Churned,Attitude
4598-XLKNJ,Female,1,25,Medium,Fiber optic,Month-to-month,Electronic check,98.5,2514.5,Yes,United States,California,Inglewood,78,No,Yes,No,2995.07,2,Churned,Dissatisfaction
3192-NQECA,Male,0,68,Loyal Customer,Fiber optic,Two year,Bank transfer (automatic),110,7611.85,Yes,United States,California,Santa Monica,26,Yes,Yes,Yes,8617.57,2,Churned,Competitor
0486-HECZI,Male,0,55,Loyal Customer,Fiber optic,Month-to-month,Electronic check,96.75,5238.9,Yes,United States,California,Torrance,37,No,Yes,No,7937.2,1,Churned,Price
4846-WHAFZ,Female,1,37,Loyal Customer,Fiber optic,Month-to-month,Electronic check,76.5,2868.15,Yes,United States,California,Whittier,80,No,Yes,No,3102.36,2,Churned,Price
5299-RULOA,Female,0,10,New Customer,Fiber optic,Month-to-month,Electronic check,100.25,1064.65,Yes,United States,California,Whittier,62,No,Yes,No,1309.45,2,Churned,Price
0404-SWRVG,Male,0,3,New Customer,Fiber optic,Month-to-month,Electronic check,74.4,229.55,Yes,United States,California,La Habra,21,Yes,No,No,264.61,1,Churned,Dissatisfaction
4412-YLTKF,Female,1,27,Medium,Fiber optic,Month-to-month,Electronic check,78.05,2135.5,Yes,United States,California,Pico Rivera,72,No,No,No,2235.41,1,Churned,Competitor
6207-WIOLX,Female,0,25,Medium,DSL,Month-to-month,Credit card (automatic),58.6,1502.65,Yes,United States,California,Avalon,27,Yes,Yes,No,1498.17,1,Churned,Attitude
3091-FYHKI,Male,0,1,New Customer,DSL,Month-to-month,Electronic check,35.45,35.45,Yes,United States,California,Harbor City,64,No,No,No,35.45,3,Churned,Dissatisfaction
2372-HWUHI,Male,0,2,New Customer,DSL,Month-to-month,Electronic check,44.35,81.25,Yes,United States,California,Lakewood,45,No,No,No,174.93,3,Churned,Other
0390-DCFDQ,Female,1,1,New Customer,Fiber optic,Month-to-month,Mailed check,70.45,70.45,Yes,United States,California,Los Alamitos,76,No,Yes,No,85.73,2,Churned,Other
4080-OGPJL,Female,0,8,New Customer,DSL,Month-to-month,Electronic check,71.15,563.65,Yes,United States,California,San Pedro,53,No,No,Yes,948.77,1,Churned,Other
2135-RXIHG,Male,0,1,New Customer,DSL,Month-to-month,Electronic check,45.65,45.65,Yes,United States,California,Carson,63,No,No,No,59.77,1,Churned,Competitor
3874-EQOEP,Male,0,7,New Customer,Fiber optic,Month-to-month,Mailed check,95,655.5,Yes,United States,California,Long Beach,32,No,No,No,772.54,1,Churned,Competitor
0867-MKZVY,Female,0,20,Medium,Fiber optic,Month-to-month,Electronic check,82.4,1592.35,Yes,United States,California,Altadena,26,Yes,Yes,No,2290.92,1,Churned,Price
3376-BMGFE,Female,0,4,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),70.9,273,Yes,United States,California,Monrovia,42,No,No,No,398.26,1,Churned,Dissatisfaction
